Personal_ID,Cost Center,Company Code,Anonymized WBSL1 Descp,WBSL1 Value,WBSL4 Value,Fiscal Year,Hours,Work Date,Business Descp,Week,Job level,Business Line Descp,Theme
1,,,Project 1,,3170008366,2021,4,1/6/2020,AUDIT,,,Audit,Worldclass
2,,,Project 1,,3170008366,2021,6,1/6/2020,RISK ADVISORY (NSE),,,Internal Audit,Worldclass
3,,,Project 2,,3170014220,2021,3,1/6/2020,RISK ADVISORY (NSE),,,Cyber,Worldclass
4,,,Project 3,,3170014400,2021,3,1/6/2020,AUDIT,,,Audit,Other
5,,,Project 3,,3170014400,2021,8,1/6/2020,TAX,,,GLOBAL EMPLOYER SERVICES,Other
6,,,Project 3,,3170014400,2021,2,1/6/2020,CONSULTING,,,Strategy & Business Design,Other
7,,,Project 4,,3170015321,2021,3,1/6/2020,TAX,,,GLOBAL EMPLOYER SERVICES,Sustainability
8,,,Project 4,,3170015321,2021,12,1/6/2020,TAX,,,INDIRECT TAX,Sustainability
9,,,Project 4,,3170015321,2021,72,1/6/2020,CONSULTING,,,Customer & Applied Design,Sustainability
10,,,Project 4,,3170015321,2021,2,1/6/2020,FINANCIAL ADVISORY (NSE),,,I&CP E. & Real Estate,Sustainability
11,,,Project 4,,3170015321,2021,13,1/6/2020,TAX,,,INDIRECT TAX,Sustainability
12,,,Project 4,,3170015321,2021,1,1/6/2020,TAX,,,Business Tax,Sustainability
13,,,Project 4,,3170015321,2021,88,1/6/2020,RISK ADVISORY (NSE),,,Controllership,
14,,,Project 4,,3170015321,2021,1,1/6/2020,CONSULTING,,,Organization Transformation,Sustainability
15,,,Project 4,,3170015321,2021,2,1/6/2020,CONSULTING,,,Customer & Applied Design,Sustainability
16,,,Project 4,,3170015321,2021,14,1/6/2020,FINANCIAL ADVISORY (NSE),,,I&CP E. & Real Estate,Sustainability
17,,,Project 4,,3170015321,2021,6,1/6/2020,TAX,,,INDIRECT TAX,Sustainability
18,,,Project 4,,3170015321,2021,6,1/6/2020,TAX,,,Business Tax,Sustainability
19,,,Project 4,,3170015321,2021,20,1/6/2020,CONSULTING,,,Supply Chain & Network Operations,Sustainability
20,,,Project 4,,3170015321,2021,19,1/6/2020,TAX,,,INDIRECT TAX,Sustainability
21,,,Project 4,,3170015321,2021,4,1/6/2020,CONSULTING,,,Customer & Applied Design,Sustainability
22,,,Project 4,,3170015321,2021,124,1/6/2020,CONSULTING,,,Customer & Applied Design,Sustainability
23,,,Project 4,,3170015321,2021,12,1/6/2020,AUDIT,,,Integrated Services,Sustainability
24,,,Project 5,,3170015323,2021,22,1/6/2020,CONSULTING,,,Systems Engineering,Endurable Society
25,,,Project 6,,3170015394,2021,20,1/6/2020,CONSULTING,,,Organization Transformation,Missing
26,,,Project 6,,3170015394,2021,32,1/6/2020,CONSULTING,,,Organization Transformation,Missing
27,,,Project 7,,3170015571,2021,3,1/6/2020,CONSULTING,,,Workforce Transformation,Worldclass
28,,,Project 7,,3170015571,2021,5,1/6/2020,CONSULTING,,,SAP,Worldclass
29,,,Project 7,,3170015571,2021,2,1/6/2020,CONSULTING,,,Digital Customer,Worldclass
30,,,Project 8,,3170015808,2021,14,1/6/2020,CONSULTING,,,Strategy & Business Design,Worlclass
31,,,Project 9,,3170015942,2021,6,1/6/2020,CONSULTING,,,Operations Transformation,Endurable Society
32,,,Project 9,,3170015942,2021,14,1/6/2020,CONSULTING,,,Customer & Applied Design,Endurable Society
33,,,Project 9,,3170015942,2021, -   ,1/6/2020,CONSULTING,,,Customer & Applied Design,Endurable Society
34,,,Project 9,,3170015942,2021,76,1/6/2020,CONSULTING,,,Strategy & Business Design,Endurable Society
35,,,Project 9,,3170015942,2021,2,1/6/2020,TAX,,,Business Tax,Endurable Society
36,,,Project 9,,3170015942,2021,1,1/6/2020,TAX,,,Business Tax,Endurable Society
37,,,Project 9,,3170015942,2021,48,1/6/2020,CONSULTING,,,Customer & Applied Design,Endurable Society
38,,,Project 9,,3170015942,2021,1,1/6/2020,TAX,,,Business Tax,Endurable Society
39,,,Project 9,,3170015942,2021,120,1/6/2020,CONSULTING,,,Strategy & Business Design,Endurable Society
